time,pm2_5,tc,rh,pm
2023-12-01 00:00:00,116.34,23.33,77.15666666666665,100.16666666666669
2023-12-01 01:00:00,93.16,23.82333333333333,72.03666666666666,90.56666666666666
2023-12-01 02:00:00,82.79,23.676,72.03399999999999,69.76
2023-12-01 03:00:00,70.96,23.24333333333333,72.02999999999999,59.8
2023-12-01 04:00:00,66.25,23.152,72.518,53.7
2023-12-01 05:00:00,73.1,21.776666666666667,82.51333333333334,49.16666666666666
2023-12-01 06:00:00,78.11,21.898,86.998,47.38
2023-12-01 07:00:00,91.78,24.433333333333334,72.71666666666667,46.9
2023-12-01 08:00:00,64.31,26.212,59.05800000000001,43.78
2023-12-01 09:00:00,50.03,27.126666666666665,52.06666666666666,43.36666666666667
2023-12-01 10:00:00,45.81,28.692,48.598,39.66
2023-12-01 11:00:00,47.09,29.616666666666664,45.67666666666667,36.4
2023-12-01 12:00:00,52.77,30.434000000000005,41.784000000000006,38.0
2023-12-01 13:00:00,53.66,31.176666666666662,37.20333333333334,42.26666666666667
2023-12-01 23:00:00,95.57,22.425,85.92500000000001,58.05
2023-12-02 00:00:00,96.42,21.985,88.5075,59.575
2023-12-02 01:00:00,89.8,21.26,93.18,61.66666666666666
2023-12-02 02:00:00,97.85,20.93,95.33,63.4
2023-12-02 03:00:00,93.94,21.15333333333333,92.75,65.89999999999999
2023-12-02 04:00:00,114.06,21.264,94.734,68.28
2023-12-02 05:00:00,141.26,21.376666666666665,93.01333333333334,71.89999999999999
2023-12-02 06:00:00,109.17,22.062,86.232,72.24
2023-12-02 07:00:00,96.93,24.396666666666665,70.45666666666666,70.60000000000001
2023-12-02 08:00:00,117.37,26.098000000000003,59.474,66.02000000000001
2023-12-02 09:00:00,83.92,27.633333333333336,56.35666666666666,60.63333333333333
2023-12-02 17:00:00,139.29,26.646666666666665,60.50666666666667,61.8
2023-12-02 18:00:00,152.03,25.688,64.176,70.32000000000001
2023-12-02 19:00:00,178.71,24.996666666666663,70.51666666666667,77.0
2023-12-02 20:00:00,182.92,24.054,74.654,84.7
2023-12-02 21:00:00,194.87,24.03333333333333,72.69666666666667,91.73333333333332
2023-12-02 22:00:00,211.52,23.326,78.752,97.02
2023-12-02 23:00:00,220.23,22.7,83.98666666666666,102.63333333333333
2023-12-03 00:00:00,227.31,22.195,88.51,106.825
2023-12-03 01:00:00,227.18,22.136666666666667,86.59666666666668,109.53333333333336
2023-12-03 02:00:00,232.83,22.108,88.164,111.04
2023-12-03 03:00:00,203.53,22.386666666666667,86.21,113.09999999999998
2023-12-03 04:00:00,201.05,23.37,78.384,110.96
2023-12-03 05:00:00,223.33,22.74,82.88333333333334,108.63333333333333
2023-12-03 06:00:00,230.77,23.144,80.44,110.4
2023-12-03 07:00:00,245.79,23.89,78.56666666666666,112.4
2023-12-03 08:00:00,248.74,25.014,72.84400000000001,113.8
2023-12-03 09:00:00,246.37,26.183333333333334,67.67666666666666,113.1
2023-12-03 10:00:00,224.15,27.576,59.51800000000001,116.56
2023-12-03 11:00:00,190.29,28.586666666666662,55.656666666666666,116.63333333333333
2023-12-03 12:00:00,177.08,29.576,50.272000000000006,106.8
2023-12-03 13:00:00,155.49,29.813333333333333,45.42666666666667,97.43333333333334
2023-12-03 14:00:00,139.84,29.65,47.832,91.14
2023-12-03 15:00:00,154.38,28.993333333333336,51.39333333333334,85.89999999999999
2023-12-03 16:00:00,156.47,27.31,57.870000000000005,87.17999999999999
2023-12-03 17:00:00,165.75,25.906666666666663,66.20333333333333,91.53333333333336
2023-12-03 18:00:00,194.14,25.014000000000003,78.578,92.8
2023-12-03 19:00:00,215.39,23.95,86.35333333333334,100.23333333333332
2023-12-03 20:00:00,209.27,24.094,82.738,109.64
2023-12-03 21:00:00,218.67,23.55666666666667,85.98666666666666,110.06666666666666
2023-12-03 22:00:00,221.9,23.064,88.824,116.02
2023-12-03 23:00:00,194.07,22.876666666666665,88.30666666666667,118.26666666666668
2023-12-04 00:00:00,185.42,22.225,93.4825,115.575
2023-12-04 01:00:00,173.47,22.203333333333333,90.90666666666668,113.53333333333336
2023-12-04 02:00:00,167.45,22.194,88.444,103.12
2023-12-04 03:00:00,152.89,22.493333333333336,82.68666666666667,97.83333333333331
2023-12-04 04:00:00,150.83,22.074,87.696,92.74
2023-12-04 05:00:00,154.83,23.296666666666667,77.43333333333334,87.03333333333335
2023-12-04 06:00:00,153.06,22.932,79.376,83.4
