,dateTime,lat,long,pm,cpm
0,0.0,22.48,88.34,107.22,111.19
1,0.0,22.48,88.39,206.09,121.31
2,0.0,22.51,88.36,194.21,119.4
3,0.0,22.51,88.37,173.28,118.21
4,0.0,22.54,88.34,185.42,116.01
5,0.0,22.54,88.35,204.53,117.81
6,0.0,22.56,88.35,198.95,117.29
7,0.0,22.56,88.36,174.34,111.04
8,0.0,22.56,88.39,193.6,111.42
9,0.0,22.57,88.42,114.0,103.91
10,0.0,22.58,88.43,114.97,104.0
11,0.0,22.59,88.36,186.62,120.79
12,0.0,22.6,88.41,173.67,109.54
13,0.0,22.61,88.36,192.79,121.38
14,60.0,22.48,88.39,196.9,116.42
15,60.0,22.51,88.36,191.77,117.48
16,60.0,22.51,88.37,162.36,113.16
17,60.0,22.54,88.34,173.47,112.83
18,60.0,22.54,88.35,201.41,115.47
19,60.0,22.56,88.35,180.09,113.45
20,60.0,22.56,88.39,175.91,109.4
21,60.0,22.57,88.42,92.18,101.5
22,60.0,22.59,88.36,178.02,119.58
23,60.0,22.6,88.41,167.63,108.62
24,60.0,22.61,88.36,188.94,120.61
25,120.0,22.48,88.34,108.04,112.73
26,120.0,22.48,88.39,213.99,123.29
27,120.0,22.5,88.35,168.01,118.39
28,120.0,22.51,88.37,149.51,117.21
29,120.0,22.54,88.34,167.45,110.31
30,120.0,22.54,88.35,186.34,112.09
31,120.0,22.56,88.35,170.18,110.57
32,120.0,22.56,88.39,163.64,112.19
33,120.0,22.57,88.42,84.41,104.71
34,120.0,22.58,88.43,107.03,106.85
35,120.0,22.6,88.37,183.1,98.55
36,120.0,22.61,88.36,185.65,120.39
37,180.0,22.48,88.34,102.44,112.49
38,180.0,22.48,88.39,214.68,123.4
39,180.0,22.5,88.35,166.36,118.52
40,180.0,22.51,88.37,149.67,117.26
41,180.0,22.54,88.34,152.89,104.74
42,180.0,22.54,88.35,171.79,106.52
43,180.0,22.56,88.35,156.39,105.07
44,180.0,22.56,88.36,156.97,113.97
45,180.0,22.56,88.39,158.67,113.59
46,180.0,22.57,88.42,90.63,107.17
47,180.0,22.58,88.43,104.16,108.45
48,180.0,22.59,88.36,191.6,99.07
49,180.0,22.6,88.37,180.58,98.03
50,180.0,22.6,88.41,174.48,115.08
51,180.0,22.61,88.36,189.34,98.86
52,240.0,22.48,88.34,92.54,111.32
53,240.0,22.48,88.39,197.21,121.16
54,240.0,22.5,88.35,162.71,117.94
55,240.0,22.51,88.36,171.4,118.76
56,240.0,22.51,88.37,150.8,116.78
57,240.0,22.54,88.34,150.83,108.02
58,240.0,22.54,88.35,174.93,110.29
59,240.0,22.56,88.36,167.19,117.41
60,240.0,22.57,88.42,86.12,107.15
61,240.0,22.58,88.43,103.52,108.79
62,240.0,22.59,88.36,174.28,98.7
63,240.0,22.6,88.37,177.27,98.99
64,240.0,22.6,88.41,173.74,115.41
65,300.0,22.48,88.34,94.04,111.92
66,300.0,22.48,88.39,217.49,120.99
67,300.0,22.5,88.35,163.24,118.45
68,300.0,22.51,88.37,151.44,114.76
69,300.0,22.54,88.35,172.64,103.37
70,300.0,22.56,88.35,170.12,103.13
71,300.0,22.56,88.36,164.4,116.61
72,300.0,22.56,88.39,179.77,114.64
73,300.0,22.57,88.42,77.29,104.97
74,300.0,22.58,88.43,101.43,107.24
75,300.0,22.59,88.36,182.38,95.98
76,300.0,22.6,88.41,171.59,113.86
77,300.0,22.61,88.36,189.03,96.61
78,360.0,22.48,88.34,87.12,105.23
79,360.0,22.5,88.35,155.47,111.68
80,360.0,22.51,88.36,157.0,111.82
81,360.0,22.51,88.37,133.37,108.18
82,360.0,22.54,88.34,153.06,102.64
83,360.0,22.54,88.35,171.37,104.37
84,360.0,22.56,88.35,177.86,104.98
85,360.0,22.56,88.39,163.63,111.31
86,360.0,22.57,88.42,74.67,102.92
87,360.0,22.58,88.43,101.37,105.44
88,360.0,22.6,88.37,162.09,93.58
89,420.0,22.48,88.34,87.37,103.44
90,420.0,22.48,88.39,228.18,113.67
91,420.0,22.5,88.35,154.73,109.79
92,420.0,22.51,88.36,168.96,111.14
93,420.0,22.51,88.37,148.84,106.19
94,420.0,22.54,88.34,173.09,104.04
95,420.0,22.56,88.35,179.98,104.69
96,420.0,22.56,88.36,163.25,110.54
97,420.0,22.56,88.39,159.11,111.37
98,420.0,22.57,88.42,81.39,104.03
99,420.0,22.58,88.43,110.26,106.76
100,420.0,22.59,88.36,188.07,98.14
101,420.0,22.6,88.37,180.07,97.39
102,420.0,22.6,88.41,176.25,112.98
103,420.0,22.61,88.36,209.37,100.15
104,480.0,22.48,88.34,90.95,99.93
105,480.0,22.5,88.35,164.56,106.88
106,480.0,22.51,88.36,179.52,108.29
107,480.0,22.51,88.37,151.72,101.93
108,480.0,22.54,88.34,172.31,100.74
109,480.0,22.54,88.35,179.11,101.38
110,480.0,22.56,88.35,166.29,100.17
111,480.0,22.56,88.36,169.76,109.71
112,480.0,22.58,88.43,179.56,111.26
113,480.0,22.59,88.36,197.27,98.04
114,480.0,22.6,88.37,186.07,96.98
115,480.0,22.6,88.41,176.82,111.0
116,480.0,22.61,88.36,193.81,97.71
117,540.0,22.48,88.34,110.67,95.53
118,540.0,22.48,88.39,178.54,96.61
119,540.0,22.5,88.35,131.15,97.46
120,540.0,22.51,88.36,127.07,97.08
121,540.0,22.51,88.37,108.35,89.98
122,540.0,22.54,88.35,146.17,93.56
123,540.0,22.56,88.35,140.11,92.99
