,dateTime,lat,long,pm,cpm
0,0.0,22.48,88.39,239.24,115.01
1,0.0,22.54,88.34,227.31,116.01
2,0.0,22.54,88.35,252.99,118.44
3,0.0,22.56,88.35,241.87,110.74
4,0.0,22.56,88.36,224.07,109.06
5,0.0,22.56,88.39,210.35,109.42
6,0.0,22.57,88.42,140.29,102.81
7,0.0,22.59,88.36,249.91,103.31
8,0.0,22.61,88.36,266.56,104.88
9,60.0,22.48,88.34,115.65,102.6
10,60.0,22.48,88.39,236.17,114.44
11,60.0,22.5,88.35,210.32,111.54
12,60.0,22.51,88.37,215.03,112.44
13,60.0,22.54,88.34,227.18,114.43
14,60.0,22.54,88.35,247.02,116.3
15,60.0,22.56,88.39,221.08,112.87
16,60.0,22.57,88.42,120.17,103.35
17,60.0,22.58,88.43,146.53,105.84
18,60.0,22.59,88.36,258.23,104.38
19,60.0,22.6,88.37,253.81,103.96
20,60.0,22.61,88.36,286.18,107.02
21,120.0,22.48,88.34,123.02,106.81
22,120.0,22.48,88.39,246.65,118.7
23,120.0,22.5,88.35,224.18,116.35
24,120.0,22.51,88.36,258.01,119.54
25,120.0,22.54,88.34,232.83,116.16
26,120.0,22.54,88.35,261.54,118.87
27,120.0,22.56,88.35,236.49,108.9
28,120.0,22.57,88.42,115.44,103.3
29,120.0,22.59,88.36,259.12,105.37
30,120.0,22.6,88.37,245.13,104.05
31,120.0,22.6,88.41,232.69,114.36
32,120.0,22.61,88.36,268.9,106.29
33,180.0,22.48,88.39,219.01,113.72
34,180.0,22.51,88.36,228.63,114.77
35,180.0,22.51,88.37,189.81,110.97
36,180.0,22.54,88.34,203.53,112.17
37,180.0,22.54,88.35,218.76,113.61
38,180.0,22.56,88.35,206.41,105.52
39,180.0,22.56,88.36,202.97,105.19
40,180.0,22.56,88.39,208.32,111.45
41,180.0,22.58,88.43,124.51,103.54
42,180.0,22.59,88.36,220.19,103.51
43,180.0,22.61,88.36,233.85,104.8
44,240.0,22.48,88.34,105.38,107.64
45,240.0,22.48,88.39,209.62,116.29
46,240.0,22.5,88.35,192.08,115.82
47,240.0,22.51,88.37,185.65,114.03
48,240.0,22.54,88.35,219.38,108.61
49,240.0,22.56,88.35,203.57,105.02
50,240.0,22.56,88.36,203.75,105.03
51,240.0,22.56,88.39,210.07,115.84
52,240.0,22.57,88.42,99.2,105.38
53,240.0,22.58,88.43,127.61,108.06
54,240.0,22.59,88.36,232.06,104.09
55,240.0,22.6,88.41,215.36,116.34
56,240.0,22.61,88.36,241.71,105.0
57,300.0,22.48,88.39,238.86,123.8
58,300.0,22.5,88.35,208.73,122.64
59,300.0,22.51,88.36,241.78,125.76
60,300.0,22.51,88.37,207.68,120.86
61,300.0,22.54,88.34,223.33,111.82
62,300.0,22.56,88.35,221.3,107.96
63,300.0,22.56,88.36,222.96,108.12
64,300.0,22.56,88.39,231.86,123.93
65,300.0,22.57,88.42,107.21,112.17
66,300.0,22.58,88.43,140.39,115.3
67,300.0,22.59,88.36,256.98,107.77
68,300.0,22.6,88.37,251.09,107.21
69,360.0,22.48,88.39,254.28,125.79
70,360.0,22.51,88.36,256.29,127.04
71,360.0,22.51,88.37,213.79,121.97
72,360.0,22.54,88.34,230.77,111.05
73,360.0,22.54,88.35,253.17,113.16
74,360.0,22.56,88.35,238.87,108.99
75,360.0,22.56,88.36,230.11,108.16
76,360.0,22.56,88.39,241.32,125.23
77,360.0,22.57,88.42,113.63,113.19
78,360.0,22.59,88.36,269.16,109.54
79,360.0,22.6,88.37,272.52,109.85
80,360.0,22.6,88.41,243.02,125.39
81,360.0,22.61,88.36,315.34,113.89
82,420.0,22.48,88.39,255.39,122.54
83,420.0,22.5,88.35,227.45,123.54
84,420.0,22.51,88.36,263.02,126.89
