,dateTime,lat,long,pm,cpm
0,0.0,22.48,88.34,107.22,111.19
1,0.0,22.5,88.35,182.71,118.31
2,0.0,22.51,88.36,194.21,119.4
3,0.0,22.51,88.37,173.28,118.21
4,0.0,22.56,88.36,174.34,111.04
5,0.0,22.56,88.39,193.6,111.42
6,0.0,22.58,88.43,114.97,104.0
7,0.0,22.59,88.36,186.62,120.79
8,0.0,22.6,88.37,178.32,97.96
9,0.0,22.6,88.41,173.67,109.54
10,60.0,22.48,88.34,102.83,109.08
11,60.0,22.48,88.39,196.9,116.42
12,60.0,22.5,88.35,174.87,115.88
13,60.0,22.51,88.36,191.77,117.48
14,60.0,22.54,88.34,173.47,112.83
15,60.0,22.54,88.35,201.41,115.47
16,60.0,22.56,88.35,180.09,113.45
17,60.0,22.56,88.36,178.1,111.89
18,60.0,22.56,88.39,175.91,109.4
19,60.0,22.58,88.43,107.13,102.91
20,60.0,22.59,88.36,178.02,119.58
21,60.0,22.6,88.37,176.96,97.33
22,60.0,22.6,88.41,167.63,108.62
23,60.0,22.61,88.36,188.94,120.61
24,120.0,22.48,88.34,108.04,112.73
25,120.0,22.48,88.39,213.99,123.29
26,120.0,22.5,88.35,168.01,118.39
27,120.0,22.51,88.36,179.82,119.5
28,120.0,22.51,88.37,149.51,117.21
29,120.0,22.54,88.35,186.34,112.09
30,120.0,22.56,88.35,170.18,110.57
31,120.0,22.56,88.36,162.49,114.1
32,120.0,22.56,88.39,163.64,112.19
33,120.0,22.57,88.42,84.41,104.71
34,120.0,22.58,88.43,107.03,106.85
35,120.0,22.59,88.36,177.24,119.6
36,120.0,22.6,88.41,175.33,113.29
37,120.0,22.61,88.36,185.65,120.39
38,180.0,22.48,88.34,102.44,112.49
39,180.0,22.48,88.39,214.68,123.4
40,180.0,22.5,88.35,166.36,118.52
41,180.0,22.51,88.36,178.0,119.62
42,180.0,22.54,88.34,152.89,104.74
43,180.0,22.56,88.36,156.97,113.97
44,180.0,22.56,88.39,158.67,113.59
45,180.0,22.57,88.42,90.63,107.17
46,180.0,22.6,88.37,180.58,98.03
