,dateTime,lat,long,pm,cpm
0,0.0,22.48,88.39,115.6,113.91
1,0.0,22.51,88.37,85.81,111.1
2,0.0,22.54,88.34,116.34,97.87
3,0.0,22.54,88.35,119.25,98.15
4,0.0,22.56,88.35,125.19,99.02
5,0.0,22.56,88.36,93.24,96.01
6,0.0,22.56,88.39,105.12,114.36
7,0.0,22.57,88.42,94.81,113.38
8,0.0,22.59,88.36,111.83,91.53
9,0.0,22.6,88.41,101.39,114.0
10,0.0,22.61,88.36,121.4,92.44
11,60.0,22.48,88.34,70.82,109.14
12,60.0,22.48,88.39,153.48,118.02
13,60.0,22.5,88.35,107.72,112.62
14,60.0,22.51,88.37,72.28,110.36
15,60.0,22.54,88.34,93.16,92.21
16,60.0,22.54,88.35,96.59,92.53
17,60.0,22.56,88.39,86.4,114.97
18,60.0,22.57,88.42,64.04,112.86
19,60.0,22.58,88.43,58.99,112.39
20,60.0,22.59,88.36,105.31,88.84
21,60.0,22.6,88.37,112.8,89.55
22,60.0,22.61,88.36,99.96,88.34
23,120.0,22.48,88.34,134.56,114.84
24,120.0,22.48,88.39,177.33,119.78
25,120.0,22.5,88.35,94.61,111.07
26,120.0,22.51,88.36,77.28,109.44
27,120.0,22.54,88.34,82.79,91.06
28,120.0,22.54,88.35,87.06,91.47
29,120.0,22.56,88.35,76.68,92.48
30,120.0,22.57,88.42,56.07,110.87
31,120.0,22.59,88.36,99.16,86.31
32,120.0,22.6,88.37,101.59,86.54
33,120.0,22.6,88.41,78.48,112.99
34,120.0,22.61,88.36,82.77,84.76
35,180.0,22.48,88.39,120.93,113.3
36,180.0,22.51,88.36,66.32,108.4
37,180.0,22.51,88.37,58.39,107.4
38,180.0,22.54,88.34,70.96,89.46
39,180.0,22.54,88.35,73.94,89.74
40,180.0,22.56,88.35,70.36,90.31
41,180.0,22.56,88.36,68.56,90.15
42,180.0,22.56,88.39,68.07,106.64
43,180.0,22.58,88.43,51.81,105.11
44,180.0,22.59,88.36,83.61,85.73
45,180.0,22.6,88.37,78.64,85.26
46,180.0,22.61,88.36,104.43,87.7
47,240.0,22.48,88.34,50.6,107.03
48,240.0,22.48,88.39,122.34,114.27
49,240.0,22.5,88.35,73.94,109.23
50,240.0,22.51,88.37,59.19,108.31
51,240.0,22.54,88.35,69.38,89.59
52,240.0,22.56,88.35,64.48,92.32
53,240.0,22.56,88.36,69.52,92.79
54,240.0,22.56,88.39,67.51,107.69
55,240.0,22.57,88.42,58.54,106.84
56,240.0,22.58,88.43,55.67,106.57
57,240.0,22.59,88.36,74.29,87.19
58,240.0,22.6,88.41,79.36,108.81
59,240.0,22.61,88.36,102.23,89.82
60,300.0,22.48,88.39,114.01,112.85
61,300.0,22.5,88.35,89.25,109.76
62,300.0,22.51,88.36,74.65,108.38
63,300.0,22.51,88.37,73.49,109.03
64,300.0,22.54,88.34,73.1,96.27
65,300.0,22.56,88.35,71.84,94.97
66,300.0,22.56,88.36,77.87,95.54
67,300.0,22.56,88.39,73.28,115.03
68,300.0,22.57,88.42,42.88,112.16
69,300.0,22.58,88.43,55.85,113.39
70,300.0,22.59,88.36,72.58,90.39
71,300.0,22.6,88.37,70.04,90.15
72,360.0,22.48,88.34,61.65,107.96
73,360.0,22.48,88.39,123.27,114.04
74,360.0,22.51,88.36,84.61,110.13
75,360.0,22.51,88.37,67.28,108.75
76,360.0,22.54,88.34,78.11,100.41
77,360.0,22.54,88.35,88.57,101.4
78,360.0,22.56,88.35,87.55,97.18
79,360.0,22.56,88.36,76.14,96.1
80,360.0,22.56,88.39,82.92,120.02
81,360.0,22.57,88.42,40.96,116.07
82,360.0,22.59,88.36,86.49,93.56
83,360.0,22.6,88.37,75.6,92.53
84,360.0,22.6,88.41,84.27,120.15
85,360.0,22.61,88.36,122.2,96.92
86,420.0,22.48,88.39,135.17,116.49
87,420.0,22.5,88.35,84.75,112.34
88,420.0,22.51,88.36,70.33,110.98
89,420.0,22.51,88.37,56.71,109.09
90,420.0,22.54,88.34,91.78,93.3
91,420.0,22.54,88.35,81.44,92.32
92,420.0,22.56,88.35,70.15,92.66
93,420.0,22.56,88.36,77.48,93.35
94,420.0,22.56,88.39,70.68,117.52
95,420.0,22.57,88.42,33.36,114.0
96,420.0,22.59,88.36,95.51,89.42
97,420.0,22.6,88.41,68.75,117.34
98,420.0,22.61,88.36,80.58,88.01
99,480.0,22.48,88.34,48.13,88.69
100,480.0,22.48,88.39,100.81,103.71
101,480.0,22.51,88.37,52.35,99.14
102,480.0,22.54,88.34,64.31,81.94
103,480.0,22.54,88.35,65.52,82.06
104,480.0,22.56,88.35,61.94,86.15
105,480.0,22.56,88.36,62.61,86.21
106,480.0,22.56,88.39,60.23,102.87
107,480.0,22.57,88.42,26.04,99.65
108,480.0,22.58,88.43,43.32,101.28
109,480.0,22.59,88.36,62.82,81.19
110,480.0,22.6,88.37,58.24,80.76
111,480.0,22.6,88.41,64.16,103.24
112,540.0,22.48,88.34,42.36,78.06
113,540.0,22.48,88.39,88.32,84.42
114,540.0,22.5,88.35,61.19,79.84
115,540.0,22.51,88.36,51.03,78.88
116,540.0,22.54,88.34,50.03,76.12
117,540.0,22.54,88.35,53.99,76.49
118,540.0,22.56,88.35,50.18,81.34
119,540.0,22.56,88.36,54.05,81.7
120,540.0,22.56,88.39,50.89,93.54
121,540.0,22.58,88.43,31.82,91.74
122,540.0,22.59,88.36,52.47,76.05
123,540.0,22.6,88.37,48.15,75.64
124,540.0,22.6,88.41,57.86,94.19
125,540.0,22.61,88.36,53.24,76.12
126,600.0,22.48,88.34,43.45,76.91
127,600.0,22.48,88.39,72.35,79.87
128,600.0,22.5,88.35,62.71,78.73
129,600.0,22.51,88.36,50.87,77.61
130,600.0,22.51,88.37,40.16,76.83
131,600.0,22.54,88.34,45.81,74.74
132,600.0,22.54,88.35,48.75,75.02
133,600.0,22.56,88.35,45.88,79.4
134,600.0,22.56,88.36,47.8,79.58
135,600.0,22.57,88.42,23.03,82.66
136,600.0,22.58,88.43,29.96,83.32
