,dateTime,lat,long,pm,cpm
0,0.0,22.48,88.34,147.05,118.32
1,0.0,22.5,88.35,250.24,128.05
2,0.0,22.51,88.36,219.98,125.2
3,0.0,22.56,88.36,227.51,113.67
4,0.0,22.56,88.39,197.68,119.85
5,0.0,22.58,88.4,177.76,117.97
6,0.0,22.59,88.36,249.39,103.1
7,0.0,22.61,88.36,269.7,105.02
8,60.0,22.48,88.34,134.43,117.2
9,60.0,22.48,88.39,233.5,126.66
10,60.0,22.5,88.35,236.17,126.8
11,60.0,22.51,88.37,205.95,124.06
12,60.0,22.54,88.35,214.97,117.24
13,60.0,22.56,88.35,196.16,110.94
14,60.0,22.56,88.36,200.19,111.32
15,60.0,22.57,88.42,105.42,116.95
16,60.0,22.58,88.4,178.8,123.87
17,60.0,22.58,88.43,105.51,116.96
18,60.0,22.59,88.36,223.81,100.28
19,60.0,22.6,88.37,222.58,100.16
20,60.0,22.6,88.41,204.75,126.32
21,60.0,22.61,88.36,282.73,105.84
22,120.0,22.48,88.34,112.12,97.4
23,120.0,22.48,88.39,235.88,109.25
24,120.0,22.5,88.35,207.78,106.42
25,120.0,22.51,88.37,131.35,99.38
26,120.0,22.54,88.34,197.79,113.93
27,120.0,22.54,88.35,202.23,114.35
28,120.0,22.56,88.35,176.41,109.53
29,120.0,22.56,88.36,192.37,111.04
30,120.0,22.56,88.39,201.02,127.37
31,120.0,22.57,88.42,99.88,117.83
32,120.0,22.58,88.43,107.45,118.54
33,120.0,22.59,88.36,204.05,100.1
34,120.0,22.6,88.37,202.03,99.91
35,120.0,22.6,88.41,202.58,127.52
36,120.0,22.61,88.36,227.11,102.28
37,180.0,22.48,88.34,52.66,83.2
38,180.0,22.5,88.35,101.41,87.8
39,180.0,22.51,88.37,94.45,83.04
40,180.0,22.54,88.34,133.24,98.94
41,180.0,22.54,88.35,135.75,99.18
42,180.0,22.56,88.35,134.24,98.29
43,180.0,22.57,88.42,100.61,119.42
44,180.0,22.58,88.4,183.61,127.25
45,180.0,22.58,88.43,95.68,118.96
46,180.0,22.59,88.36,184.76,98.76
47,180.0,22.6,88.41,196.87,128.51
48,180.0,22.61,88.36,198.83,100.09
49,240.0,22.48,88.39,77.67,79.52
50,240.0,22.5,88.35,109.58,85.09
51,240.0,22.51,88.36,109.5,85.08
52,240.0,22.51,88.37,101.22,81.74
