,dateTime,lat,long,pm,cpm
0,0.0,22.48,88.34,72.22,109.74
1,0.0,22.48,88.39,115.6,113.91
2,0.0,22.5,88.35,114.18,113.7
3,0.0,22.51,88.36,101.2,112.47
4,0.0,22.51,88.37,85.81,111.1
5,0.0,22.54,88.34,116.34,97.87
6,0.0,22.54,88.35,119.25,98.15
7,0.0,22.56,88.35,125.19,99.02
8,0.0,22.56,88.36,93.24,96.01
9,0.0,22.56,88.39,105.12,114.36
10,0.0,22.57,88.42,94.81,113.38
11,0.0,22.58,88.43,55.54,109.68
12,0.0,22.6,88.37,104.51,90.84
13,0.0,22.6,88.41,101.39,114.0
14,0.0,22.61,88.36,121.4,92.44
15,60.0,22.48,88.34,70.82,109.14
16,60.0,22.5,88.35,107.72,112.62
17,60.0,22.51,88.36,88.21,110.78
18,60.0,22.51,88.37,72.28,110.36
19,60.0,22.56,88.35,93.54,95.51
20,60.0,22.56,88.36,94.5,95.6
21,60.0,22.56,88.39,86.4,114.97
22,60.0,22.57,88.42,64.04,112.86
23,60.0,22.58,88.43,58.99,112.39
24,60.0,22.59,88.36,105.31,88.84
25,60.0,22.6,88.37,112.8,89.55
26,60.0,22.6,88.41,90.32,115.34
27,60.0,22.61,88.36,99.96,88.34
28,120.0,22.48,88.34,134.56,114.84
29,120.0,22.51,88.36,77.28,109.44
30,120.0,22.51,88.37,66.91,109.36
31,120.0,22.54,88.34,82.79,91.06
32,120.0,22.54,88.35,87.06,91.47
33,120.0,22.56,88.35,76.68,92.48
34,120.0,22.56,88.36,80.04,92.8
35,120.0,22.56,88.39,74.32,112.6
36,120.0,22.57,88.42,56.07,110.87
37,120.0,22.58,88.43,51.97,110.49
38,120.0,22.59,88.36,99.16,86.31
39,120.0,22.6,88.37,101.59,86.54
40,120.0,22.61,88.36,82.77,84.76
41,180.0,22.48,88.34,69.13,108.66
42,180.0,22.5,88.35,84.29,110.09
43,180.0,22.51,88.36,66.32,108.4
44,180.0,22.51,88.37,58.39,107.4
45,180.0,22.54,88.34,70.96,89.46
46,180.0,22.54,88.35,73.94,89.74
47,180.0,22.56,88.35,70.36,90.31
48,180.0,22.56,88.36,68.56,90.15
49,180.0,22.56,88.39,68.07,106.64
50,180.0,22.57,88.42,38.84,103.88
51,180.0,22.58,88.43,51.81,105.11
52,180.0,22.59,88.36,83.61,85.73
53,180.0,22.6,88.37,78.64,85.26
54,180.0,22.6,88.41,70.33,106.86
55,240.0,22.48,88.34,50.6,107.03
56,240.0,22.48,88.39,122.34,114.27
57,240.0,22.51,88.36,63.06,108.2
58,240.0,22.51,88.37,59.19,108.31
59,240.0,22.54,88.34,66.25,89.3
60,240.0,22.54,88.35,69.38,89.59
61,240.0,22.56,88.35,64.48,92.32
62,240.0,22.56,88.36,69.52,92.79
63,240.0,22.56,88.39,67.51,107.69
64,240.0,22.57,88.42,58.54,106.84
65,240.0,22.58,88.43,55.67,106.57
66,240.0,22.59,88.36,74.29,87.19
67,240.0,22.6,88.37,69.95,86.78
68,240.0,22.6,88.41,79.36,108.81
69,240.0,22.61,88.36,102.23,89.82
70,300.0,22.48,88.34,54.73,106.5
71,300.0,22.5,88.35,89.25,109.76
72,300.0,22.51,88.36,74.65,108.38
73,300.0,22.51,88.37,73.49,109.03
74,300.0,22.54,88.35,83.4,97.24
75,300.0,22.56,88.35,71.84,94.97
76,300.0,22.56,88.36,77.87,95.54
77,300.0,22.56,88.39,73.28,115.03
78,300.0,22.57,88.42,42.88,112.16
79,300.0,22.58,88.43,55.85,113.39
80,300.0,22.59,88.36,72.58,90.39
81,300.0,22.6,88.37,70.04,90.15
82,300.0,22.6,88.41,82.8,115.93
83,300.0,22.61,88.36,106.25,93.56
84,360.0,22.48,88.34,61.65,107.96
85,360.0,22.5,88.35,95.36,111.14
86,360.0,22.51,88.36,84.61,110.13
87,360.0,22.51,88.37,67.28,108.75
88,360.0,22.54,88.35,88.57,101.4
89,360.0,22.56,88.36,76.14,96.1
90,360.0,22.56,88.39,82.92,120.02
91,360.0,22.57,88.42,40.96,116.07
92,360.0,22.58,88.43,54.23,117.32
93,360.0,22.6,88.37,75.6,92.53
94,360.0,22.6,88.41,84.27,120.15
95,360.0,22.61,88.36,122.2,96.92
96,420.0,22.48,88.34,52.48,109.3
97,420.0,22.51,88.36,70.33,110.98
98,420.0,22.54,88.34,91.78,93.3
99,420.0,22.54,88.35,81.44,92.32
100,420.0,22.56,88.35,70.15,92.66
101,420.0,22.56,88.39,70.68,117.52
102,420.0,22.58,88.43,46.58,115.25
103,420.0,22.59,88.36,95.51,89.42
104,420.0,22.6,88.37,91.65,89.06
105,420.0,22.61,88.36,80.58,88.01
106,480.0,22.48,88.34,48.13,88.69
107,480.0,22.48,88.39,100.81,103.71
108,480.0,22.5,88.35,77.62,91.47
109,480.0,22.51,88.36,67.24,90.49
110,480.0,22.51,88.37,52.35,99.14
111,480.0,22.56,88.39,60.23,102.87
112,480.0,22.57,88.42,26.04,99.65
113,480.0,22.58,88.43,43.32,101.28
114,480.0,22.59,88.36,62.82,81.19
115,480.0,22.6,88.41,64.16,103.24
116,480.0,22.61,88.36,65.57,81.45
117,540.0,22.48,88.39,88.32,84.42
118,540.0,22.5,88.35,61.19,79.84
119,540.0,22.51,88.36,51.03,78.88
120,540.0,22.51,88.37,40.38,79.89
121,540.0,22.54,88.34,50.03,76.12
122,540.0,22.54,88.35,53.99,76.49
123,540.0,22.56,88.35,50.18,81.34
124,540.0,22.56,88.36,54.05,81.7
125,540.0,22.57,88.42,26.29,91.22
126,540.0,22.59,88.36,52.47,76.05
127,540.0,22.6,88.37,48.15,75.64
128,600.0,22.48,88.34,43.45,76.91
129,600.0,22.48,88.39,72.35,79.87
130,600.0,22.5,88.35,62.71,78.73
131,600.0,22.51,88.36,50.87,77.61
132,600.0,22.54,88.34,45.81,74.74
133,600.0,22.54,88.35,48.75,75.02
134,600.0,22.56,88.39,44.32,84.67
135,600.0,22.57,88.42,23.03,82.66
136,600.0,22.58,88.43,29.96,83.32
137,600.0,22.59,88.36,45.44,73.5
138,600.0,22.6,88.41,46.64,84.89
139,660.0,22.48,88.34,40.92,74.59
140,660.0,22.48,88.39,66.72,76.16
141,660.0,22.5,88.35,55.1,75.93
142,660.0,22.51,88.37,46.04,74.21
143,660.0,22.54,88.35,47.54,73.64
144,660.0,22.56,88.35,44.48,78.79
145,660.0,22.56,88.36,43.18,78.67
146,660.0,22.56,88.39,52.91,82.72
147,660.0,22.58,88.43,27.68,80.34
148,660.0,22.59,88.36,45.58,78.9
149,660.0,22.6,88.37,41.6,70.41
150,660.0,22.6,88.41,47.5,82.21
151,720.0,22.48,88.34,42.6,73.67
152,720.0,22.48,88.39,69.03,73.15
153,720.0,22.5,88.35,60.5,75.35
154,720.0,22.51,88.36,50.59,74.42
155,720.0,22.54,88.34,52.77,71.98
156,720.0,22.54,88.35,57.5,72.43
157,720.0,22.56,88.35,55.36,77.92
158,720.0,22.56,88.36,50.16,77.43
159,720.0,22.56,88.39,47.44,78.46
160,720.0,22.57,88.42,21.7,76.03
161,720.0,22.58,88.43,27.67,67.78
162,720.0,22.59,88.36,53.61,69.93
163,720.0,22.6,88.37,45.21,69.13
164,720.0,22.61,88.36,50.46,69.63
165,780.0,22.48,88.39,58.63,70.12
166,780.0,22.51,88.36,49.83,71.94
167,780.0,22.54,88.34,53.66,69.29
168,780.0,22.56,88.35,52.26,74.92
169,780.0,22.56,88.36,47.16,74.44
170,780.0,22.56,88.39,49.31,72.15
171,780.0,22.57,88.42,19.59,69.34
172,780.0,22.6,88.37,48.08,67.58
173,780.0,22.6,88.41,42.75,71.53
174,780.0,22.61,88.36,46.1,67.39
175,840.0,22.48,88.39,51.49,67.81
176,840.0,22.5,88.35,54.88,70.5
177,840.0,22.51,88.36,51.17,70.15
178,840.0,22.51,88.37,36.66,66.41
179,840.0,22.54,88.35,42.77,67.54
180,840.0,22.56,88.35,42.88,73.33
181,840.0,22.56,88.36,40.66,73.12
182,840.0,22.56,88.39,42.29,72.17
183,840.0,22.57,88.42,18.65,69.94
184,840.0,22.59,88.36,41.03,66.46
185,840.0,22.6,88.37,40.46,66.4
186,840.0,22.6,88.41,53.25,73.2
187,840.0,22.61,88.36,40.26,66.38
188,900.0,22.48,88.34,36.7,69.61
189,900.0,22.48,88.39,54.81,68.35
190,900.0,22.5,88.35,50.05,70.87
191,900.0,22.51,88.36,49.35,70.8
192,900.0,22.51,88.37,36.72,66.64
193,900.0,22.54,88.35,42.66,69.47
194,900.0,22.56,88.35,41.9,74.68
195,900.0,22.56,88.36,38.76,74.38
196,900.0,22.56,88.39,47.85,72.3
197,900.0,22.58,88.43,22.02,69.86
198,900.0,22.59,88.36,45.27,68.11
199,900.0,22.6,88.37,38.65,67.48
200,900.0,22.6,88.41,38.37,71.4
201,900.0,22.61,88.36,41.17,67.72
202,960.0,22.48,88.34,45.94,74.71
203,960.0,22.48,88.39,54.2,70.16
204,960.0,22.5,88.35,53.58,75.43
205,960.0,22.51,88.36,54.8,75.54
206,960.0,22.51,88.37,37.55,68.59
207,960.0,22.54,88.35,47.39,73.15
208,960.0,22.56,88.39,41.74,75.87
209,960.0,22.57,88.42,24.26,74.22
210,960.0,22.59,88.36,48.7,69.94
211,960.0,22.6,88.37,46.42,69.73
212,960.0,22.6,88.41,47.73,76.44
213,960.0,22.61,88.36,48.3,69.9
214,1020.0,22.48,88.34,44.27,78.79
215,1020.0,22.48,88.39,98.3,81.16
216,1020.0,22.5,88.35,59.34,80.21
217,1020.0,22.51,88.36,69.54,81.17
218,1020.0,22.51,88.37,45.8,76.21
219,1020.0,22.54,88.35,58.4,78.62
220,1020.0,22.56,88.36,58.32,82.2
221,1020.0,22.56,88.39,108.92,85.96
222,1020.0,22.57,88.42,45.06,79.94
223,1020.0,22.6,88.37,76.27,75.07
224,1020.0,22.6,88.41,66.45,81.95
225,1020.0,22.61,88.36,53.47,72.92
226,1080.0,22.48,88.39,144.56,95.86
227,1080.0,22.5,88.35,74.75,87.82
228,1080.0,22.51,88.36,115.18,91.64
229,1080.0,22.56,88.35,65.06,86.44
230,1080.0,22.56,88.39,161.29,98.12
231,1080.0,22.57,88.42,68.46,89.36
232,1080.0,22.58,88.43,58.73,88.45
233,1080.0,22.59,88.36,118.03,81.12
234,1080.0,22.6,88.37,119.31,81.24
235,1080.0,22.6,88.41,82.05,90.65
236,1080.0,22.61,88.36,75.08,77.07
237,1140.0,22.48,88.39,148.43,96.61
238,1140.0,22.51,88.36,108.66,93.97
239,1140.0,22.54,88.35,90.85,89.81
240,1140.0,22.56,88.35,83.33,88.58
241,1140.0,22.57,88.42,77.46,92.07
242,1140.0,22.58,88.43,67.11,91.09
243,1140.0,22.59,88.36,134.56,84.42
244,1140.0,22.6,88.37,135.16,84.48
245,1140.0,22.6,88.41,88.88,93.14
246,1140.0,22.61,88.36,88.17,80.04
247,1200.0,22.48,88.34,65.04,86.59
248,1200.0,22.48,88.39,137.58,96.47
249,1200.0,22.5,88.35,108.52,90.69
250,1200.0,22.51,88.36,117.73,91.56
251,1200.0,22.51,88.37,79.82,91.02
252,1200.0,22.54,88.35,107.69,90.46
253,1200.0,22.56,88.35,105.02,91.66
254,1200.0,22.56,88.36,102.74,91.44
255,1200.0,22.56,88.39,103.86,92.08
256,1200.0,22.59,88.36,98.05,82.4
257,1200.0,22.6,88.37,94.7,82.08
258,1200.0,22.6,88.41,87.11,90.5
259,1200.0,22.61,88.36,89.95,81.63
260,1260.0,22.48,88.34,69.07,90.52
261,1260.0,22.48,88.39,129.33,99.71
262,1260.0,22.5,88.35,111.36,94.51
263,1260.0,22.51,88.36,96.6,93.11
264,1260.0,22.51,88.37,93.3,96.31
265,1260.0,22.56,88.35,114.91,94.63
266,1260.0,22.56,88.36,92.81,92.54
267,1260.0,22.56,88.39,98.5,96.48
268,1260.0,22.57,88.42,222.07,108.14
269,1260.0,22.58,88.43,75.13,94.27
270,1260.0,22.59,88.36,101.0,83.65
271,1260.0,22.6,88.37,134.94,86.85
272,1260.0,22.61,88.36,95.05,83.08
273,1320.0,22.48,88.34,77.05,93.89
274,1320.0,22.48,88.39,122.32,94.03
275,1320.0,22.5,88.35,108.56,96.86
276,1320.0,22.51,88.36,89.17,95.03
277,1320.0,22.51,88.37,89.4,90.92
278,1320.0,22.56,88.35,96.3,94.95
279,1320.0,22.56,88.36,104.97,95.76
280,1320.0,22.58,88.43,70.74,96.11
281,1320.0,22.59,88.36,102.75,85.57
282,1320.0,22.6,88.37,106.04,85.88
283,1320.0,22.6,88.41,92.91,98.2
284,1320.0,22.61,88.36,99.38,85.25
285,1380.0,22.48,88.34,62.46,101.6
286,1380.0,22.48,88.39,122.0,104.34
287,1380.0,22.5,88.35,103.21,105.44
288,1380.0,22.51,88.36,100.26,105.16
289,1380.0,22.51,88.37,87.81,101.11
290,1380.0,22.54,88.35,105.15,102.71
291,1380.0,22.56,88.36,109.28,97.93
292,1380.0,22.56,88.39,87.59,100.2
293,1380.0,22.57,88.42,258.86,116.36
294,1380.0,22.58,88.43,60.9,97.68
295,1380.0,22.6,88.37,117.79,87.69
296,1380.0,22.6,88.41,95.74,100.97
297,1380.0,22.61,88.36,134.55,89.27
