,dateTime,lat,long,pm,cpm
0,0.0,22.48,88.34,107.22,111.19
1,0.0,22.48,88.39,206.09,121.31
2,0.0,22.5,88.35,182.71,118.31
3,0.0,22.51,88.36,194.21,119.4
4,0.0,22.51,88.37,173.28,118.21
5,0.0,22.54,88.34,185.42,116.01
6,0.0,22.54,88.35,204.53,117.81
7,0.0,22.56,88.35,198.95,117.29
8,0.0,22.56,88.39,193.6,111.42
9,0.0,22.57,88.42,114.0,103.91
10,0.0,22.58,88.43,114.97,104.0
11,0.0,22.6,88.37,178.32,97.96
12,0.0,22.6,88.41,173.67,109.54
13,0.0,22.61,88.36,192.79,121.38
14,60.0,22.48,88.34,102.83,109.08
15,60.0,22.5,88.35,174.87,115.88
16,60.0,22.51,88.36,191.77,117.48
17,60.0,22.51,88.37,162.36,113.16
18,60.0,22.56,88.35,180.09,113.45
19,60.0,22.56,88.36,178.1,111.89
20,60.0,22.56,88.39,175.91,109.4
21,60.0,22.57,88.42,92.18,101.5
22,60.0,22.58,88.43,107.13,102.91
23,60.0,22.59,88.36,178.02,119.58
24,60.0,22.6,88.37,176.96,97.33
25,60.0,22.61,88.36,188.94,120.61
26,120.0,22.48,88.34,108.04,112.73
27,120.0,22.51,88.36,179.82,119.5
28,120.0,22.51,88.37,149.51,117.21
29,120.0,22.54,88.34,167.45,110.31
30,120.0,22.54,88.35,186.34,112.09
31,120.0,22.56,88.35,170.18,110.57
32,120.0,22.56,88.36,162.49,114.1
33,120.0,22.56,88.39,163.64,112.19
34,120.0,22.57,88.42,84.41,104.71
35,120.0,22.58,88.43,107.03,106.85
36,120.0,22.59,88.36,177.24,119.6
37,120.0,22.6,88.37,183.1,98.55
38,120.0,22.6,88.41,175.33,113.29
39,120.0,22.61,88.36,185.65,120.39
40,180.0,22.48,88.34,102.44,112.49
41,180.0,22.5,88.35,166.36,118.52
42,180.0,22.51,88.36,178.0,119.62
43,180.0,22.51,88.37,149.67,117.26
44,180.0,22.54,88.34,152.89,104.74
45,180.0,22.54,88.35,171.79,106.52
46,180.0,22.56,88.35,156.39,105.07
47,180.0,22.56,88.39,158.67,113.59
48,180.0,22.57,88.42,90.63,107.17
49,180.0,22.58,88.43,104.16,108.45
50,180.0,22.59,88.36,191.6,99.07
51,180.0,22.6,88.37,180.58,98.03
52,180.0,22.6,88.41,174.48,115.08
53,240.0,22.48,88.34,92.54,111.32
54,240.0,22.48,88.39,197.21,121.16
55,240.0,22.51,88.36,171.4,118.76
56,240.0,22.51,88.37,150.8,116.78
57,240.0,22.54,88.34,150.83,108.02
58,240.0,22.54,88.35,174.93,110.29
59,240.0,22.56,88.35,155.95,108.5
60,240.0,22.56,88.36,167.19,117.41
61,240.0,22.56,88.39,156.2,113.76
62,240.0,22.57,88.42,86.12,107.15
63,240.0,22.58,88.43,103.52,108.79
64,240.0,22.59,88.36,174.28,98.7
65,240.0,22.6,88.37,177.27,98.99
66,240.0,22.6,88.41,173.74,115.41
67,240.0,22.61,88.36,173.32,98.61
68,300.0,22.48,88.34,94.04,111.92
69,300.0,22.5,88.35,163.24,118.45
70,300.0,22.51,88.36,177.48,119.79
71,300.0,22.51,88.37,151.44,114.76
72,300.0,22.54,88.34,154.83,101.69
73,300.0,22.54,88.35,172.64,103.37
74,300.0,22.56,88.35,170.12,103.13
75,300.0,22.56,88.36,164.4,116.61
76,300.0,22.57,88.42,77.29,104.97
77,300.0,22.58,88.43,101.43,107.24
78,300.0,22.6,88.37,179.47,95.71
79,300.0,22.6,88.41,171.59,113.86
80,300.0,22.61,88.36,189.03,96.61
81,360.0,22.48,88.34,87.12,105.23
82,360.0,22.48,88.39,192.24,113.74
83,360.0,22.5,88.35,155.47,111.68
84,360.0,22.51,88.36,157.0,111.82
85,360.0,22.51,88.37,133.37,108.18
86,360.0,22.56,88.36,160.86,114.03
87,360.0,22.56,88.39,163.63,111.31
88,360.0,22.57,88.42,74.67,102.92
89,360.0,22.58,88.43,101.37,105.44
90,360.0,22.59,88.36,164.81,93.84
91,360.0,22.6,88.37,162.09,93.58
92,360.0,22.6,88.41,165.17,111.46
93,360.0,22.61,88.36,193.73,96.57
94,420.0,22.48,88.39,228.18,113.67
95,420.0,22.51,88.36,168.96,111.14
96,420.0,22.54,88.34,173.09,104.04
97,420.0,22.54,88.35,175.24,104.24
98,420.0,22.56,88.35,179.98,104.69
99,420.0,22.56,88.39,159.11,111.37
100,420.0,22.57,88.42,81.39,104.03
101,420.0,22.58,88.43,110.26,106.76
102,420.0,22.59,88.36,188.07,98.14
103,420.0,22.6,88.37,180.07,97.39
104,420.0,22.61,88.36,209.37,100.15
105,480.0,22.48,88.34,90.95,99.93
106,480.0,22.48,88.39,226.97,109.03
107,480.0,22.5,88.35,164.56,106.88
108,480.0,22.51,88.36,179.52,108.29
109,480.0,22.51,88.37,151.72,101.93
110,480.0,22.56,88.35,166.29,100.17
111,480.0,22.56,88.39,167.58,110.13
112,480.0,22.57,88.42,79.01,101.77
113,480.0,22.58,88.43,179.56,111.26
114,480.0,22.6,88.37,186.07,96.98
115,480.0,22.61,88.36,193.81,97.71
116,540.0,22.5,88.35,131.15,97.46
117,540.0,22.51,88.36,127.07,97.08
118,540.0,22.51,88.37,108.35,89.98
119,540.0,22.54,88.34,149.6,93.89
120,540.0,22.54,88.35,146.17,93.56
121,540.0,22.56,88.35,140.11,92.99
122,540.0,22.56,88.36,142.81,101.79
123,540.0,22.56,88.39,133.05,101.24
